Country_Name,RE_Inexpensive_Meal,RE_Meal_2Ppl,RE_Combo_Meal,RE_Domestic_Beer,RE_Imported_Beer,RE_Cappuccino,RE_Coke/Pepsi,RE_Water,MK_Milk,MK_White_Bread,MK_Rice,MK_Eggs,MK_Cheese,MK_Chicken_Breasts,MK_Red_Meat,MK_Apples,MK_Banana,MK_Oranges,MK_Tomato,MK_Potato,MK_Onion,MK_Lettuce,MK_Water,MK_Wine,MK_Domestic_Beer,MK_Imported_Beer,MK_Cigarettes_Pack,TR_Ticket,TR_Monthly_Pass,TR_Taxi_Start,TR_Taxi_1km,TR_Taxi_1h,TR_Gasoline,TR_VW_Golf,TR_TY_Corolla,UT_Basic_85m2,UT_Prepaid_Mobile,UT_Internet,SL_Fitness_Club,SL_Tennis,SL_Cinema,CH_Preschool,CH_International_School,CS_Jeans,CS_Summer_Dress,CS_Running_Shoes,CS_Leather_Shoes,RM_Apartment_1Centre,RM_Apartment_1Outside,RM_Apartment_3Centre,RM_Apartment_3Outside,BA_PriceM2_Centre,BA_PriceM2_Outside,SF_Average_Salary,SF_Mortgage_%Yearly
Saint Kitts And Nevis,9.25,74.00,8.70,1.85,2.96,4.44,1.48,1.55,3.70,3.57,2.22,1.98,3.89,3.56,5.55,,3.50,6.61,2.20,2.20,2.20,3.70,1.85,15.73,1.48,2.50,3.70,,,12.00,1.85,,4.10,,,190.53,0.37,60.25,74.00,,6.66,,,,60.00,,,"1,200.00","1,000.00",,"1,800.00",,,"1,221.07",
Saint Lucia,4.63,29.60,9.25,1.85,2.96,3.89,0.97,0.74,2.18,0.92,1.54,2.78,6.94,9.76,11.35,6.91,1.04,2.41,4.07,1.71,1.00,1.85,1.03,11.10,1.67,2.96,2.59,0.93,55.50,7.40,,23.13,1.23,"21,276.20",,119.00,0.22,60.54,35.77,,9.07,92.51,,50.57,37.00,101.39,111.93,364.01,277.52,715.37,530.36,,,"1,332.08",5.88
Samoa,4.47,31.09,6.22,1.28,1.94,3.89,0.87,0.58,1.57,0.58,1.38,2.72,3.11,,,1.85,0.97,2.14,3.50,0.97,1.36,1.94,1.30,10.49,1.55,2.33,3.50,0.97,,1.55,1.58,15.55,0.94,"27,981.45","27,981.45",400.78,,58.29,38.86,,,174.88,,,,136.02,,777.26,320.62,"1,525.38",,"2,160.23",,,
Saudi Arabia,5.33,21.32,5.86,1.07,1.33,2.74,0.55,0.24,1.20,0.59,1.79,1.89,5.82,4.83,10.25,1.86,1.44,1.46,1.47,1.01,0.95,1.09,0.54,5.06,1.08,1.01,6.40,0.80,46.20,2.67,1.33,8.00,0.31,"18,657.71","17,359.12",50.63,0.12,58.01,79.25,32.10,15.99,349.20,"5,899.62",43.18,48.78,81.56,71.92,373.85,285.42,690.41,515.69,"1,083.42",778.29,"1,718.22",3.74
Senegal,5.33,26.66,6.66,1.78,2.67,1.93,0.72,0.50,1.85,0.36,0.73,2.13,22.81,5.03,5.24,2.01,1.40,2.21,1.30,0.98,0.65,1.39,0.76,7.11,0.76,2.10,1.16,0.31,17.77,1.78,1.78,5.33,1.21,"15,993.21","18,362.57",109.29,0.24,58.64,42.65,8.89,8.89,111.06,"3,305.26",26.66,33.32,71.08,44.43,609.26,268.03,"1,717.79",658.98,"9,615.96","9,185.34",162.39,7.25
Serbia,4.93,19.72,4.93,1.48,1.78,1.25,1.22,0.76,0.89,0.43,1.20,1.42,4.84,4.97,6.60,0.81,1.27,1.14,0.98,0.48,0.46,0.42,0.47,3.94,0.62,0.94,2.86,0.88,29.59,1.48,0.64,5.83,1.46,"19,723.87","19,486.10",148.43,0.12,20.78,24.65,8.65,4.44,243.83,"8,543.80",64.27,31.48,79.08,89.65,270.94,174.65,488.61,309.22,"1,904.01","1,135.20",411.30,4.08
Seychelles,18.58,74.34,6.88,4.46,3.35,4.25,1.49,1.15,1.75,1.47,2.34,2.60,14.50,7.53,15.31,2.97,2.88,1.61,5.35,1.71,1.31,1.00,1.34,14.87,1.53,3.16,14.05,0.37,11.15,7.43,2.97,33.45,1.39,"26,017.47","31,220.96",33.45,0.28,84.87,52.03,5.95,5.58,234.47,"2,621.57",58.11,50.18,64.98,36.92,828.31,669.02,"1,746.89","1,471.85",854.86,"4,608.81",547.11,8.25
Singapore,11.18,44.73,5.93,7.45,7.45,3.84,1.28,0.97,2.35,1.74,2.10,2.08,24.49,6.64,19.22,3.41,2.06,3.09,2.01,2.04,1.76,1.75,1.45,21.62,4.00,4.45,9.84,1.34,74.54,2.61,0.41,13.42,1.66,"89,452.17","80,144.70",110.29,0.12,34.99,102.82,10.01,8.95,710.81,"20,089.47",71.29,39.23,93.30,96.94,"2,111.06","1,382.93","3,759.48","2,285.80","17,872.83","9,402.08","3,069.89",2.21
Sint Maarten,15.00,80.00,5.25,3.00,4.50,3.00,2.50,2.17,1.79,2.20,4.00,4.00,,,12.00,8.00,4.89,6.00,,,,3.00,1.75,12.00,1.00,1.50,3.00,1.50,,15.00,,,1.08,"25,000.00","21,333.33",126.67,0.28,100.00,77.50,13.50,,450.00,"12,600.00",50.00,,92.50,133.33,"1,066.67",900.00,"2,350.00","1,700.00","12,000.00","9,843.76","1,550.00",6.50
Slovakia,5.83,25.64,5.83,1.40,1.75,1.85,1.44,1.08,0.82,1.03,1.35,2.07,7.96,5.61,8.68,1.56,1.66,1.61,2.05,0.90,0.82,1.19,0.73,4.66,0.90,1.31,4.20,0.82,30.31,3.26,0.82,15.15,1.49,"17,484.76","18,441.43",210.68,0.10,18.37,29.75,9.98,7.58,411.97,"9,836.80",68.82,34.55,72.72,86.31,549.33,429.24,875.72,656.05,"1,997.20","1,502.16",898.34,1.95
